student_id,assignment_id,full_name,focused_ratio,quiz_score,sample_count
12,4,Student 1,0.6071,35.12,28
12,5,Student 1,0.3182,26.54,22
12,6,Student 1,0.6,44.07,20
12,7,Student 1,0.3182,35.06,22
13,4,Student 2,0.4815,35.88,27
13,5,Student 2,0.5556,45.29,27
13,6,Student 2,0.5143,38.43,35
13,7,Student 2,0.561,39.34,41
14,4,Student 3,0.6129,36.23,31
14,5,Student 3,0.4857,41.44,35
14,6,Student 3,0.619,52.79,42
14,7,Student 3,0.4545,48.91,33
15,4,Student 4,0.6818,74.71,44
15,5,Student 4,0.7917,78.67,24
15,6,Student 4,0.7826,75.9,23
15,7,Student 4,0.75,79.18,32
16,4,Student 5,0.55,70.23,20
16,5,Student 5,0.5385,83.41,26
16,6,Student 5,0.725,67.14,40
16,7,Student 5,0.6667,77.99,45
17,4,Student 6,0.875,85.66,32
17,5,Student 6,0.5625,90.17,32
17,6,Student 6,1.0,94.73,38
17,7,Student 6,0.7857,79.59,28
18,4,Student 7,0.3571,35.99,42
18,5,Student 7,0.2703,36.68,37
18,6,Student 7,0.4524,39.16,42
18,7,Student 7,0.7105,35.04,38
19,4,Student 8,0.5294,40.65,34
19,5,Student 8,0.5484,74.8,31
19,6,Student 8,0.4091,51.7,22
19,7,Student 8,0.5588,50.34,34
20,4,Student 9,0.3939,30.49,33
20,5,Student 9,0.2,22.53,30
20,6,Student 9,0.32,37.58,25
20,7,Student 9,0.381,30.95,21
21,4,Student 10,0.5938,53.85,32
21,5,Student 10,0.4,48.42,40
21,6,Student 10,0.625,46.41,32
21,7,Student 10,0.6,52.5,25
22,4,Student 11,0.8065,78.11,31
22,5,Student 11,0.6136,57.05,44
22,6,Student 11,0.75,58.18,24
22,7,Student 11,0.7273,73.52,33
23,4,Student 12,0.4634,22.4,41
23,5,Student 12,0.7143,47.28,35
23,6,Student 12,0.5227,30.39,44
23,7,Student 12,0.4,38.06,25
24,4,Student 13,0.4667,46.15,45
24,5,Student 13,0.5333,56.2,30
24,6,Student 13,0.6296,45.09,27
24,7,Student 13,0.5385,56.51,26
25,4,Student 14,0.8372,77.21,43
25,5,Student 14,0.7857,65.91,28
25,6,Student 14,0.7857,76.06,28
25,7,Student 14,0.8889,97.96,45
26,4,Student 15,0.6774,61.49,31
26,5,Student 15,0.9,64.76,20
26,6,Student 15,0.7273,68.66,22
26,7,Student 15,0.6944,66.1,36
27,4,Student 16,0.5714,37.25,42
27,5,Student 16,0.6176,36.95,34
27,6,Student 16,0.5116,44.57,43
27,7,Student 16,0.5385,48.49,26
28,4,Student 17,0.7308,47.79,26
28,5,Student 17,0.8148,85.46,27
28,6,Student 17,0.5455,46.47,33
28,7,Student 17,0.7931,63.54,29
29,4,Student 18,0.9167,80.3,24
29,5,Student 18,0.7838,78.59,37
29,6,Student 18,0.7812,77.3,32
29,7,Student 18,0.7273,67.62,22
30,4,Student 19,0.4,29.22,25
30,5,Student 19,0.65,33.91,20
30,6,Student 19,0.4167,32.9,24
30,7,Student 19,0.3143,32.34,35
31,4,Student 20,0.7419,71.25,31
31,5,Student 20,0.7931,82.83,29
31,6,Student 20,0.8293,94.98,41
31,7,Student 20,0.675,74.64,40
32,4,Student 21,0.7317,72.61,41
32,5,Student 21,0.825,82.79,40
32,6,Student 21,0.697,81.05,33
32,7,Student 21,0.8667,89.32,30
33,4,Student 22,0.5455,58.34,44
33,5,Student 22,0.5806,48.82,31
33,6,Student 22,0.4348,46.67,23
33,7,Student 22,0.4872,45.31,39
34,4,Student 23,0.5263,51.33,38
34,5,Student 23,0.561,54.67,41
34,6,Student 23,0.4318,30.08,44
34,7,Student 23,0.3846,40.15,26
35,4,Student 24,0.8857,87.38,35
35,5,Student 24,0.9545,87.6,22
35,6,Student 24,0.9355,86.93,31
35,7,Student 24,0.7674,89.06,43
36,4,Student 25,0.6667,68.34,33
36,5,Student 25,0.5714,46.43,28
36,6,Student 25,0.5238,56.88,42
36,7,Student 25,0.5312,47.54,32
37,4,Student 26,0.4194,55.44,31
37,5,Student 26,0.5429,45.94,35
37,6,Student 26,0.7619,43.3,21
37,7,Student 26,0.5312,38.99,32
38,4,Student 27,0.5758,37.3,33
38,5,Student 27,0.3939,40.59,33
38,6,Student 27,0.575,41.23,40
38,7,Student 27,0.4,26.72,20
39,4,Student 28,0.7742,87.9,31
39,5,Student 28,0.6829,88.17,41
39,6,Student 28,0.64,75.64,25
39,7,Student 28,0.8,79.68,30
40,4,Student 29,0.8095,74.04,42
40,5,Student 29,0.6154,62.18,39
40,6,Student 29,0.7838,70.57,37
40,7,Student 29,0.7895,77.88,38
41,4,Student 30,0.44,78.72,25
41,5,Student 30,0.45,74.07,20
41,6,Student 30,0.84,69.52,25
41,7,Student 30,0.8409,100.0,44
